,1- Mundo,2- Economía,3. Política y Conflictos,4- Ciencias y Tecnología,5- Catástrofes y Accidentes,6- Cultura y Artes,7- Deporte, 8- Ecología y Planeta," 9- Crimen, delitos y Justicia",10- Salud
actualidad,0,0,0,0,0,0,0,0,0,0
animal,0,0,0,0,0,1,0,0,0,0
artes,0,0,0,0,0,0,0,0,0,0
Autos,0,0,0,0,0,0,0,0,0,0
braga,0,0,0,0,0,0,0,0,0,0
calidad-de-vida,0,0,0,0,0,0,0,0,0,0
cartas-ciudadanas,0,0,0,0,0,0,0,0,0,0
chile,0,0,0,0,0,0,0,0,0,0
ciencia-tecnologia,0,0,0,0,0,0,0,0,0,0
ciudadanos-al-poder,0,0,0,0,0,0,0,0,0,0
columnas,0,0,0,0,0,0,0,0,0,0
conversacioneslt,0,0,0,0,0,0,0,0,0,0
coronavirus,0,0,0,0,0,0,0,0,0,0
culto,0,0,0,0,0,0,0,0,0,0
cultura,0,0,0,0,0,0,0,0,0,0
data,0,0,0,0,0,0,0,0,0,0
Deportes,0,0,0,0,0,0,0,0,0,0
deportes,0,0,0,0,0,0,0,0,0,0
derechos-humanos,0,0,0,0,0,0,0,0,0,0
destacado,0,0,0,0,0,0,0,0,0,0
dia,0,0,0,0,0,0,0,0,0,0
eclipse-2020,0,0,0,0,0,0,0,0,0,0
Economia,0,0,0,0,0,0,0,0,0,0
economia,0,0,0,0,0,0,0,0,0,0
editorial,0,0,0,0,0,0,0,0,0,0
educacion,0,0,0,0,0,0,0,0,0,0
el-deportivo,0,0,0,0,0,0,0,0,0,0
el-semanal,0,0,0,0,0,0,0,0,0,0
especiales,0,0,0,0,0,0,0,0,0,0
Espectaculos,0,0,0,0,0,0,0,0,0,0
genero,0,0,0,0,0,0,0,0,0,0
Internacional,0,0,0,0,0,0,0,0,0,0
internacional,0,0,0,0,0,0,0,0,0,0
justicia,0,0,0,0,0,0,0,0,0,0
la-tercera-domingo,0,0,0,0,0,0,0,0,0,0
la-tercera-pm,0,0,0,0,0,0,0,0,0,0
la-tercera-tv,0,0,0,0,0,0,0,0,0,0
latinoamerica,0,0,0,0,0,0,0,0,0,0
mapuche,0,0,0,0,0,0,0,0,0,0
masdeco,0,0,0,0,0,0,0,0,0,0
medio-ambiente,0,0,0,0,0,0,0,0,0,0
mercados,0,0,0,0,0,0,0,0,0,0
mexico,0,0,0,0,0,0,0,0,0,0
mineria,0,0,0,0,0,0,0,0,0,0
mouse,0,0,0,0,0,0,0,0,0,0
mundo,0,0,0,0,0,0,0,0,0,0
nacional,0,0,0,0,0,0,0,0,0,0
Nacional,0,0,0,0,0,0,0,0,0,0
negocios,0,0,0,0,0,0,0,0,0,0
noticias,0,0,0,0,0,0,0,0,0,0
noticiasbbc,0,0,0,0,0,0,0,0,0,0
opinion,0,0,0,0,0,0,0,0,0,0
paula,0,0,0,0,0,0,0,0,0,0
peru,0,0,0,0,0,0,0,0,0,0
plebiscito-chile-elige,0,0,0,0,0,0,0,0,0,0
podcast,0,0,0,0,0,0,0,0,0,0
politica,0,0,0,0,0,0,0,0,0,0
portada,0,0,0,0,0,0,0,0,0,0
primarias-2020,0,0,0,0,0,0,0,0,0,0
proceso-constituyente,0,0,0,0,0,0,0,0,0,0
programas,0,0,0,0,0,0,0,0,0,0
pueblos,0,0,0,0,0,0,0,0,0,0
pulso,0,0,0,0,0,0,0,0,0,0
pulso-trader,0,0,0,0,0,0,0,0,0,0
que-pasa,0,0,0,0,0,0,0,0,0,0
reconstitucion,0,0,0,0,0,0,0,0,0,0
redes-sociales,0,0,0,0,0,0,0,0,0,0
regiones,0,0,0,0,0,0,0,0,0,0
reportaje-investigacion,0,0,0,0,0,0,0,0,0,0
revista-que-pasa,0,0,0,0,0,0,0,0,0,0
salud,0,0,0,0,0,0,0,0,0,0
sociedad,0,0,0,0,0,0,0,0,0,0
Tecnologia,0,0,0,0,0,0,0,0,0,0
tecnologia-2,0,0,0,0,0,0,0,0,0,0
Tendencias,0,0,0,0,0,0,0,0,0,0
tendencias,0,0,0,0,0,0,0,0,0,0
tesirve,0,0,0,0,0,0,0,0,0,0
trabajo,0,0,0,0,0,0,0,0,0,0
turismo,0,0,0,0,0,0,0,0,0,0
tv,0,0,0,0,0,0,0,0,0,0
wires,0,0,0,0,0,0,0,0,0,0